theme_id,label_de,description,bafu_risk_ref,example_keywords
licht,Lichtverschmutzung,"Zunahme künstlicher Lichtemissionen, Auswirkungen auf nachtaktive Tiere und menschliches Wohlbefinden.",,"Lichtverschmutzung,Lichtemission,pollution lumineuse,inquinamento luminoso"
luft,Luftqualität,"Belastung durch Ozon, Feinstaub und Stickstoffverbindungen trotz allgemeiner Verbesserung seit 2000.",,"Luftqualität,Feinstaub,Ozon,Stickoxid,qualité de l'air,qualità dell'aria"
naturgefahren_allgemein,Naturgefahren allgemein,"Übergreifendes Risiko durch Naturgefahren in der Schweiz (Gebirge, Gewässer), wachsendes Schadenspotenzial durch Siedlungsausdehnung.",,"Naturgefahr,Naturkatastrophe,danger naturel,pericolo naturale"
stoerfallvorsorge,Störfallvorsorge,"Risiko von Störfällen im Umgang mit gefährlichen Stoffen/Organismen, Koordination zwischen Raumplanung und Sicherheitsmassnahmen.",,"Störfall,Störfallvorsorge,accident majeur,incidente rilevante"
wald_holz,Wald und Holznutzung,"Schutzfunktion, Gesundheit und Nutzung des Schweizer Walds; Belastung durch Trockenheit, Hitze, Stürme und Schädlinge.",,"Wald,Holznutzung,Waldsterben,forêt,foresta,bois"
wasser,Gewässerschutz und Wasserqualität,"Zustand von Bächen und Flüssen, Wasserqualität, strukturelle Defizite trotz grundsätzlicher Erfolge im Gewässerschutz.",,"Gewässerschutz,Wasserqualität,Fluss,Bach,cours d'eau,acqua"
wirtschaft_konsum,Ressourcenverbrauch und nachhaltiger Konsum,"Umweltbelastung durch Produktions- und Konsummuster, insbesondere Ernährung, Wohnen und Mobilität; planetare Belastbarkeitsgrenzen.",,"Ressourcenverbrauch,nachhaltiger Konsum,consommation durable,consumo sostenibile"
risk_hitze_gesundheit,Beeinträchtigung der Gesundheit durch Hitze,"Zunehmende Hitzeperioden belasten Wohlbefinden und Gesundheit, v.a. ältere und vorbelastete Menschen; das laut Bericht grösste Einzelrisiko.",,"Hitzewelle,Hitzebelastung,Hitzetote,canicule,ondata di calore"
risk_hitze_leistung,Einschränkung der Leistungsfähigkeit durch Hitze,"Hitze reduziert die Arbeitsproduktivität, besonders bei körperlich aktiven Berufen in Bau- und Landwirtschaft.",,"Hitze Arbeitsproduktivität,Hitzefrei Arbeit,chaleur travail,calore lavoro"
risk_hitze_tiergesundheit,Beeinträchtigung der Tiergesundheit durch Hitze,"Nutztiere wie Rinder, Schweine und Geflügel leiden unter Hitzestress, mit Folgen für Ertrag und Tierwohl.",,"Hitzestress Tiere,Nutztiere Hitze,stress thermique animaux,stress da caldo animali"
risk_hitze_landwirtschaft,Ertragseinbussen in der Landwirtschaft durch Hitze,"Hitzestress beeinträchtigt Wachstum und Qualität landwirtschaftlicher Kulturen, z.B. bei Kartoffeln.",,"Hitze Ernteausfall,Hitzestress Landwirtschaft,chaleur agriculture,calore agricoltura"
risk_hitze_wald,Beeinträchtigung von Waldleistungen durch Hitze,Hitzestress schwächt Bäume und reduziert sowohl Holznutzungspotenzial als auch Schutzfunktion des Waldes.,,"Hitze Wald,Waldschäden Hitze,chaleur forêt,calore foresta"
risk_hitze_verkehr,Beeinträchtigung der Verkehrsinfrastruktur durch Hitze,"Hitze verformt Schienen, Strassen und Landebahnen, was zu Verspätungen und Mehrkosten führt.",,"Hitze Schienen,Gleisverformung,chaleur rails,calore infrastrutture"
risk_hitze_strom,Beeinträchtigung der Stromversorgung durch Hitze,Mit Flusswasser gekühlte Kraftwerke müssen bei hohen Wassertemperaturen ihre Leistung drosseln.,,"Kühlwasser Kraftwerk,Wassertemperatur Kraftwerk,eau de refroidissement,acqua di raffreddamento"
risk_trockenheit_landwirtschaft,Ertragseinbussen in der Landwirtschaft durch Trockenheit,"Regenarme Sommer verringern Ernteerträge, besonders bei wasserintensiven Kulturen wie Kartoffeln oder Mais.",,"Trockenheit Landwirtschaft,Dürre Ernte,sécheresse agriculture,siccità agricoltura"
risk_trockenheit_wald,Beeinträchtigung von Waldleistungen durch Trockenheit,"Trockenheit schwächt Bäume und erhöht die Anfälligkeit für Schädlinge, reduziert Holznutzung und Schutzfunktion.",,"Trockenheit Wald,Waldsterben Trockenheit,sécheresse forêt,siccità foresta"
risk_waldbrand,Schäden durch Waldbrände,"Anhaltende Trockenheit erhöht Waldbrandgefahr und -intensität, insbesondere im Tessin und Wallis.",,"Waldbrand,Waldbrandgefahr,feu de forêt,incendio boschivo"
risk_speicherseen,Wasserknappheit in Speicherseen,"Trockene Sommer führen zu tieferen Füllständen der Stauseen, mit Folgen für die Winterstromproduktion.",,"Speichersee,Stausee,Füllstand,barrage,lac artificiale"
risk_rheinschifffahrt,Einschränkung der Rheinschifffahrt,"Niedrigwasser limitiert Beladung und Verkehr auf dem Rhein, wichtig für Schweizer Importe/Exporte.",,"Rheinschifffahrt,Niedrigwasser Rhein,navigation rhénane,navigazione sul Reno"
risk_wasserversorgung,Beeinträchtigung der Wasserversorgung,Niedrigwasser kann lokal die öffentliche Trink- und Grundwasserversorgung einschränken.,,"Wasserversorgung,Trinkwasser Knappheit,approvisionnement en eau,approvvigionamento idrico"
risk_hochwasser_sach,Sachschäden durch grossräumige Hochwasser,Langanhaltende Niederschläge verursachen teure Überschwemmungen entlang von Gewässern - das teuerste Extremereignis der Schweiz.,,"Hochwasser,Überschwemmung,inondation,alluvione"
risk_hochwasser_betrieb,Betriebsunterbrüche durch grossräumige Hochwasser,Hochwasser führt zu Verkehrs- und Betriebsunterbrüchen mit indirekten wirtschaftlichen Kosten.,,"Hochwasser Betriebsunterbruch,Hochwasser Verkehr,inondation interruption,alluvione interruzione"
risk_oberflaechenabfluss_sach,Sachschäden durch Oberflächenabfluss und lokale Überschwemmungen,Starkregen überflutet Strassen und Gebäude auch ausserhalb klassischer Hochwasser-Gefahrengebiete.,,"Starkregen,Oberflächenabfluss,pluie torrentielle,pioggia torrenziale"
risk_oberflaechenabfluss_betrieb,Betriebsunterbrüche durch Oberflächenabfluss,Eindringendes Wasser in Gebäude führt zu länger andauernden Nutzungseinschränkungen von Betrieben.,,"Wassereinbruch Keller,Starkregen Betrieb,ruissellement,ruscellamento"
risk_massenbewegung_personen,Personenschäden durch gravitative Massenbewegungen,"Rutschungen, Steinschlag und Murgänge gefährden Menschen, vor allem im alpinen Raum.",,"Rutschung,Steinschlag,Murgang,glissement de terrain,frana"
risk_massenbewegung_sach,Sachschäden durch gravitative Massenbewegungen,"Rutschungen und Murgänge beschädigen Siedlungen, Verkehrswege und weitere Infrastruktur.",,"Erdrutsch Schaden,Murgang Schaden,dégâts glissement,danni frana"
risk_massenbewegung_betrieb,Betriebsunterbrüche durch gravitative Massenbewegungen,Sperrungen von Verkehrsachsen nach Rutschungen oder Murgängen verursachen hohe indirekte Kosten.,,"Strassensperrung Rutschung,Verkehrsachse gesperrt,route coupée,strada chiusa"
risk_hagel_sach,Sachschäden durch Hagel und Stürme,"Hagel- und Sturmereignisse beschädigen Gebäudehüllen, Fahrzeuge, Gewächshäuser und Solaranlagen.",,"Hagel,Sturm,Unwetterschaden,grêle,tempête,grandine,tempesta"
risk_hagel_betrieb,Betriebsunterbrüche durch Hagel und Stürme,Beschädigte Gebäude können nach Hagel- oder Sturmschäden längerfristig nicht genutzt werden.,,"Hagelschaden Betrieb,Sturmschaden Gebäude,dégâts de grêle,danni da grandine"
risk_wintertourismus,Einbussen im Wintertourismus durch schneearme Winter,Weniger Schnee in tiefen und mittleren Lagen beeinträchtigt den Wintersporttourismus in den Bergen.,,"Schneemangel,Wintertourismus,tourisme hivernal,turismo invernale"
risk_oekosystemleistungen,Beeinträchtigung von Ökosystemen und deren Leistungen,"Der Klimawandel beeinträchtigt Ökosystemleistungen wie sauberes Wasser, fruchtbare Böden, Kohlenstoffspeicherung und Bestäubung.",,"Ökosystemleistung,Bestäubung,services écosystémiques,servizi ecosistemici"
risk_schadorganismen,Vermehrt auftretende Schadorganismen,"Wärmeliebende, teils gebietsfremde Schadorganismen breiten sich aus und beeinträchtigen Gesundheit, Land- und Waldwirtschaft.",,"Schadorganismus,invasiver Schädling,organisme nuisible,organismo nocivo"
risk_landschaftsbild,Verändertes Landschaftsbild,Der Klimawandel verändert das Erscheinungsbild und wichtige Identifikationsmerkmale der Schweizer Landschaft.,,"Landschaftsbild,Gletscherschwund,paysage changeant,paesaggio che cambia"
strategie_lebensraeume,Ökologisch wertvolle Lebensräume fördern und vernetzen,"Aufbau eines schweizweiten Netzwerks ökologisch wertvoller Flächen als Basis für reichhaltige, vernetzte Biodiversität.",,"Lebensraumvernetzung,ökologische Infrastruktur,réseau écologique,rete ecologica"
strategie_klimaanpassung,Anpassungsfähigkeit an den Klimawandel steigern,"Stärkung der Anpassungsfähigkeit von Gesellschaft, Wirtschaft und Umwelt an die Folgen des Klimawandels gemäss Pariser Abkommen.",,"Klimaanpassung,Anpassungsstrategie,adaptation climatique,adattamento climatico"
strategie_kreislaufwirtschaft,"Nachhaltige Herstellung, Wiederverwendung und Recycling stärken","Förderung von Kreislaufwirtschaft und Ökodesign, um Materialkreisläufe zu schliessen und Ressourcen zu schonen.",,"Ökodesign,Kreislaufwirtschaft Strategie,écoconception,economia circolare"
strategie_lebensmittelverluste,Lebensmittelverluste vermindern,"Ziel, vermeidbare Lebensmittelverluste (Food Waste) entlang der gesamten Wertschöpfungskette bis 2030 zu halbieren.",,"Food Waste,Lebensmittelverluste,gaspillage alimentaire,spreco alimentare"
strategie_plastikkonvention,Verhandlungen für eine Plastikkonvention vorantreiben,Einsatz der Schweiz für eine internationale Konvention gegen Plastikverschmutzung entlang des gesamten Lebenszyklus.,,"Plastikkonvention,Plastikverschmutzung,convention plastique,convenzione sulla plastica"
strategie_chemikalien,"Belastung und Risiken von Chemikalien reduzieren (PFAS, PSM, Biozide)","Einschränkung besonders risikoreicher Chemikalien wie PFAS, Pflanzenschutzmitteln und Bioziden zum Schutz von Umwelt und Gesundheit.",,"PFAS,Pflanzenschutzmittel,Biozide,pesticides,pesticidi"
strategie_datenmanagement,Amtsübergreifendes Datenmanagement aufbauen,"Aufbau eines ganzheitlichen Datenmanagements für Umweltdaten gemäss EMBAG, um Erkenntnisse besser nutzbar zu machen.",,"Umweltdatenmanagement,EMBAG,gestion des données environnementales,gestione dei dati ambientali"
